,Restaurant name,Categories,TEL/reservation,Addresses,Transportation,Operating Hours,Shop holidays,Budget,Method of payment,Table money/charge,Awards
172,Muromachiwainkurabu(室町ワイン倶楽部),"Italian, Wine bar, Steak",050-5869-2698      (+81-50-5869-2698)    (For reservation only)        03-3275-0160        (+81-3-3275-0160)      (For inquiry)予約可,3-chome-2-14 Nihonbashihoncho Chuo City Tokyo-to                                     東京都                                              中央区                                                日本橋本町                                              3-2-14                                          山一大野ビル 1F                    Show larger map,《7路線からご利用可能♪》【1】《三越前駅》地下鉄銀座線　三越前駅　A10番出口　徒歩3分【2】《三越前駅》地下鉄半蔵門線　三越前駅　A10番出口　徒歩3分【3】《新日本橋駅》JR総武線　新日本橋駅　1番出口　徒歩3分【4】《神田駅》JR京浜東北線　神田駅　南口　徒歩8分【5】《神田駅》JR山手線　神田駅　南口　徒歩8分【6】《神田駅》JR中央線　神田駅　南口　徒歩8分【7】《小伝馬町駅》東京メトロ日比谷線　小伝馬町駅　徒歩7分78 meters from Shin Nihombashi.,[月～金]17:00～23:30(L.O23:00)[土］17:00～22:00(L.O21:30),日曜日・祝日,"Dinner:￥3,000～￥3,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Accepted                    (Transportation electronic money(Suica)、Rakuten-Edy、iD),チャーム代  400円/人,
173,iseebiandotokachiushikanzenkoshitsuizakayamiyabitei(伊勢海老＆十勝牛 完全個室居酒屋 雅邸 新橋店),"Izakaya (Tavern), Seafood, Yakitori (Grilled chicken)",050-5596-3054      (+81-50-5596-3054)    (For reservation only)        03-6380-6910        (+81-3-6380-6910)      (For inquiry)予約可当日キャンセルはコース料金100％キャンセル料金を頂戴致します。席のみ予約の場合はお一人様あたり1000円を頂戴致します。団体様ついては2週間前までのキャンセルのみ承ります。それ以降はキャンセル料金の対象になります。また確認が取れない場合、トラブル防止のためキャンセル処理させていただきます。,3-chome-23-1 Shinbashi Minato City Tokyo-to                                     東京都                                              港区                                                新橋                                              3-23-1                                          Box’R Shinbashi 6F                    Show larger map,都営浅草線 新橋駅 徒歩2分JR新橋駅 徒歩1分194 meters from Shimbashi.,12:00～24:00（L.O.23:00）※12:00〜16:00は予約の方のみの営業となります。お気軽にお問い合わせください。Open on sundays,無,"Dinner:￥3,000～￥3,999Lunch:￥3,000～￥3,999",Credit Cards Accepted                  (VISA、Master、JCB)                Electronic money Not Accepted,直接お店にお問い合わせください。,
174,TETSU(焼肉 哲 立川本店),"Yakiniku (BBQ Beef), Korean cuisine, Izakaya (Tavern)",050-5594-9858      (+81-50-5594-9858)    (For reservation only)        042-512-7329        (+81-42-512-7329)      (For inquiry)予約可※混雑時はお席の時間にご協力頂く場合が御座います。【ランチ：1時間制、ディナー：2時間制】※2名様でのテーブルのご予約の際、混雑時はカウンターへのご案内になる可能性がございますので予めご了承くださいませ。,Shibasakicho Tachikawa Tokyo                                     東京都                                              立川市                                                柴崎町                                              2-3-3                                          MSTビル 1F                    Show larger map,中央線　立川駅　徒歩3分多摩モノレール　立川南駅　徒歩1分112 meters from Tachikawa Minami.,"【ランチ】＜全日＞11:00〜15:00(LO.14:00)【ディナー】＜月〜土＞17:00〜24:00(LO.23:00,ドリンク23:30)  ＜日・祝＞17:00〜23:30(LO.22:30,ドリンク23:00)※ネット予約ができない際は、時間帯によって予約が取れる場合があるのでお電話下さい。※情勢に応じ営業内容を変更しております。詳細はお店からの大切なお知らせをご確認下さいOpen on sundays",月曜日(※祝日の場合は火曜日) 週末は予約必須、平日がおすすめです。,"Dinner:￥4,000～￥4,999Lunch:￥1,000～￥1,999",Credit Cards Accepted                  (VISA、Master、AMEX、Diners、JCB)                Electronic money Not AcceptedQR code payment Accepted                    (PayPay、au PAY),,
175,Yakitoriharetsubame(焼鳥 ハレツバメ 新宿東口店),"Izakaya (Tavern), Soba, Yakitori (Grilled chicken)",050-3199-1683      (+81-50-3199-1683)    予約可,Shinjuku Shinjuku City Tokyo                                     東京都                                              新宿区                                                新宿                                              3-27-4                                          新宿御幸ビル B2F                    Show larger map,ＪＲ 新宿駅 東口 徒歩2分京王線 新宿駅 徒歩5分小田急線 新宿駅 徒歩5分地下鉄丸の内線 新宿駅 徒歩5分170 meters from Shinjuku.,火～日・祝日・祝前日ランチ　11:30～15:00（L.O.14:00）ディナー　17:30～23:00（L.O.22:00）日・祝日ディナー　17:00～22:00（L.O.21:00）Open on sundays,月曜日,"Dinner:￥3,000～￥3,999Lunch:～￥999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Accepted                    (Transportation electronic money(Suica)、Rakuten-Edy、iD、QUICPay)                QR code payment Accepted                    (PayPay、au PAY),,
176,Kurumaebisenkatempurateissoku(車海老専科 天麩羅 手一束),Tempura,050-5456-5935      (+81-50-5456-5935)    (For reservation only)        03-6721-5945        (+81-3-6721-5945)      (For inquiry)予約可ご予約時に、お名前とご連絡先を伺っております。,5-chome-5-5 Shinbashi Minato City Tokyo-to                                     東京都                                              港区                                                新橋                                              5-5-5                                          1F                    Show larger map,新橋駅より徒歩8分内幸町駅より徒歩7分御成門駅より徒歩6分大門駅より徒歩10分新虎通りと日比谷通りの交差点近く赤レンガ通り沿い448 meters from Onarimon.,［平日＆土曜］11:30～13:3017:00～23:00コロナウィルス収束迄は営業時間の変更がございますので都度電話でご確認くださいませ※ラスト入店21:00※土曜は若干早めに締めることがあります※ 休業日やラストオーダー後のご利用希望のお客様はご相談ください（団体様）,日祝祭日,"Dinner:￥4,000～￥4,999Lunch:￥1,000～￥1,999",Credit Cards Accepted                  (VISA、Master、AMEX、JCB、Diners)                Electronic money Accepted                    (Transportation electronic money(Suica)、iD、QUICPay),サービス料、チャージ料ともに無し,
177,younikusumibiyakinikujiruya(羊肉炭火焼 肉汁屋),"Genghis Khan (BBQ Rum), Izakaya (Tavern)",050-5890-1104      (+81-50-5890-1104)    (For reservation only)        03-3434-5567        (+81-3-3434-5567)      (For inquiry)予約可※キャンセルをされる場合、ご予約日の13時迄にご連絡をお願い致します。,4-chome-15-8 Shinbashi Minato City Tokyo-to                                     東京都                                              港区                                                新橋                                              4-15-8                    Show larger map,JR新橋駅・烏森口徒歩３分221 meters from Shimbashi.,17:00～23:30（L.O.23:00）,日・祝,"Dinner:￥4,000～￥4,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Accepted                    (Transportation electronic money(Suica)、Rakuten-Edy、nanaco、WAON、iD、QUICPay),,
178,Shinjukupasutakan(新宿ぱすたかん),"Okonomiyaki, Monjya yaki, Yakiniku (BBQ Beef)",050-5571-2500      (+81-50-5571-2500)    (For reservation only)        03-3349-5859        (+81-3-3349-5859)      (For inquiry)予約可,1-chome-1-1-3 Nishishinjuku Shinjuku City Tokyo-to                                     東京都                                              新宿区                                                西新宿                                              1-1-3                    新宿ミロード  8F                    Show larger map,JR線(南口)・小田急線・京王線 新宿駅 徒歩1分91 meters from Shinjuku.,11:00～22:00(L.O.21:15)※新型コロナウィルス感染拡大防止のため、予告なく営業時間が変更となる場合がございます。Open on sundays,不定休 (ミロードの休館日に準ずる),"Dinner:￥2,000～￥2,999Lunch:￥1,000～￥1,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Accepted                    (Transportation electronic money(Suica)、Rakuten-Edy、iD)                QR code payment Not Accepted,,
179,Roppongiyakinikukintan(六本木焼肉　Kintan),"Yakiniku (BBQ Beef), Teppanyaki, Horumon (BBQ Offel)",050-5890-7361      (+81-50-5890-7361)    (For reservation only)        03-3475-1129        (+81-3-3475-1129)      (For inquiry)予約可,Roppongi Minato City Tokyo                                     東京都                                              港区                                                六本木                                              6-1-8                                          六本木グリーンビル 2F                    Show larger map,日比谷線 六本木駅3番出口 徒歩１分大江戸線 六本木駅3番出口 芋洗坂方面 徒歩1分86 meters from Roppongi.,【要予約】ディナー20:00以降のご来店は事前にご予約下さい※ご予約がない場合は20:00に閉店させていただきます＜月～金＞ランチ11:30 - 15:00 （LO14:30）ディナー17:30 - 23:00 (LO22:00）＜土日祝＞ランチ11:00 - 15:30 (LO14:30)ディナー17:00 - 23:00 (LO22:00)Open on sundays,年末年始,"Dinner:￥6,000～￥7,999Lunch:￥1,000～￥1,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Not Accepted,"サービス料5％・個室チャージ料あり（4名様の個室は3,000円／8名様の個室は5,000円）",
180,Shisha Lounge Genie(Shisha Lounge Genie),"Bar, Dining bar, Cafe",050-5570-8714      (+81-50-5570-8714)    (For reservation only)        03-6427-1693        (+81-3-6427-1693)      (For inquiry)予約可,3-chome-26-1 Higashi Shibuya City Tokyo                                     東京都                                              渋谷区                                                東                                              3-26-1                                          中村ビル 3F                    Show larger map,JR各線　恵比寿駅西口　徒歩3分東京メトロ日比谷線　恵比寿駅出口1・出口2　徒歩3分208 meters from Ebisu.,17:00～※BBQご利用のお客様に限り、事前のご予約で営業時間の繰り上げが可能です。詳細お問い合わせは電話03‐6427‐1693まで。Open on sundays,無休,"Dinner:￥4,000～￥4,999",Credit Cards Accepted                  (VISA、AMEX、Master、JCB、Diners)                Electronic money Not AcceptedQR code payment Not Accepted,22時以降にご来店された方はサービス10％頂戴しております。,
181,Wabisutorosaku(和びすとろ SAKU 飯田橋店),"Izakaya (Tavern), Japanese food (other), Nihonshu (Japanese sake)",050-5595-3085      (+81-50-5595-3085)    (For reservation only)        03-6261-5244        (+81-3-6261-5244)      (For inquiry)予約可,2-chome-3-1 Fujimi Chiyoda City Tokyo-to                                     東京都                                              千代田区                                                富士見                                              2-3-1                                          信幸ビル 102                    Show larger map,ＪＲ中央線 飯田橋駅 徒歩2分地下鉄有楽町線 飯田橋駅 徒歩3分180 meters from Iidabashi.,平日　昼11:30-15:00　　　夜17:00-23:30土   　昼11:30-15:00　　　夜17:00-23:30日　　夜17:00-23:30Open on sundays,無休,"Dinner:￥3,000～￥3,999Lunch:～￥999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Accepted                    (Transportation electronic money(Suica)、QUICPay)                QR code payment Not Accepted,お席のみ予約お通し代300円（税別）※コース予約は頂戴しておりません,
182,Shinagawasushishiorianyamashiro(品川 鮨 栞庵 やましろ),"Sushi, Kaiseki (Traditional Japanese), Seafood",050-5872-4311      (+81-50-5872-4311)    (For reservation only)        03-6433-9691        (+81-3-6433-9691)      (For inquiry)予約可,2-chome-4-18 Konan Minato City Tokyo                                     東京都                                              港区                                                港南                                              2-4-18                                          ルネッサンスビル 5F-B                    Show larger map,品川駅 港南口 徒歩1分467 meters from Shinagawa.,通常営業時間ランチ12:00~14：00ディナー17:00~23:00 （土・日・祝日16:00～23:00）Open on sundays,定休日無し（ビルの営業日に準ずる）【休業のお知らせ】1月21日(金)～当面の間、休業とさせて頂きます。,"Dinner:￥15,000～￥19,999Lunch:￥3,000～￥3,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Not Accepted,サービス料10％を頂いております。,
183,Fuzufuzu(フーズフーズ 池袋本店),"Dining bar, Izakaya (Tavern), Cafe",050-5571-7448      (+81-50-5571-7448)    (For reservation only)        03-5953-3239        (+81-3-5953-3239)      (For inquiry)予約可,1-chome-21-9 Nishiikebukuro Toshima City Tokyo-to                                     東京都                                              豊島区                                                西池袋                                              1-21-9                                          パセラリゾーツ 2F                    Show larger map,ＪＲ池袋駅 西口 北口より徒歩2分副都心線 池袋駅 C6出口より徒歩1分260 meters from Ikebukuro.,[月～金・祝前日]18：00～23：00(食事L.O 22:00　ドリンクL.O 22:30)[土・日・祝日]11：30～23：00(食事L.O 22:00　ドリンクL.O 22:30)※まん延防止等重点措置の期間中は「21時まで」となります。お酒の提供は20：00までと致します。,東京都の要請に従い、営業時間に変更がございます。,"Dinner:￥3,000～￥3,999Lunch:￥2,000～￥2,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Accepted                    (Transportation electronic money(Suica)、Rakuten-Edy、nanaco、WAON、iD、QUICPay)                QR code payment Not Accepted,個室チャージ500円/お1人様,
184,The CHEATDAY(the CHEATDAY),"Burger, Cafe",050-5589-2293      (+81-50-5589-2293)    (For reservation only)        03-6805-3210        (+81-3-6805-3210)      (For inquiry)予約可インスタグラムのDMにてお気軽にご連絡・ご相談下さい。,1-chome-2-11 Mishuku Setagaya City Tokyo                                     東京都                                              世田谷区                                                三宿                                              1-2-11                    Show larger map,東急田園都市線「池尻大橋駅」西口から徒歩10分東急田園都市線「三軒茶屋駅」北口Bから徒歩10分三宿バス停から徒歩2分693 meters from Ikejiri Ohashi.,11:00～21:00 (L.O.20:00)Open on sundays,火曜（祝日の場合は営業）,"Dinner:￥1,000～￥1,999Lunch:￥1,000～￥1,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Accepted                    (Transportation electronic money(Suica)、iD、QUICPay)                QR code payment Accepted                    (PayPay、d Barai、au PAY),なし,
185,Natural Dining Wald Haus(ヴァルト ハウス 森の家),"Dining bar, French, Cafe",050-5872-0650      (+81-50-5872-0650)    (For reservation only)        03-5550-2227        (+81-3-5550-2227)      (For inquiry)予約可,5-chome-13-12 Ginza Chuo City Tokyo                                     東京都                                              中央区                                                銀座                                              5-13-12                    Show larger map,東京メトロ日比谷線・都営地下鉄浅草線「東銀座駅」4番出口より徒歩1分東京メトロ銀座線・丸の内線ほか「銀座駅」A3出口より徒歩4分都営地下鉄大江戸線「築地市場駅」A3出口より徒歩7分東京メトロ有楽町駅線「新富町駅」1番出口より徒歩10分JR山手線「有楽町駅」銀座口・中央口より徒歩11分JR山手線「新橋駅」銀座口・新橋口より徒歩11分117 meters from Higashi Ginza.,[昼]11:30～15:00(L.O.14:30)[ティー]15:00～17:30(L.O.17:00)[夜]18:00～22:00(コースL.O.20:30/アラカルトL.O.21:00/ドリンクL.O.21:30)お電話でのお問い合わせ 11:30～21:00Open on sundays,無休,"Dinner:￥8,000～￥9,999Lunch:￥3,000～￥3,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Not AcceptedQR code payment Not Accepted,,
186,Majikkuresutorambajoia(マジックレストラン・バー GIOIA FUNDES 銀座店),"Italian, Dining bar, Wine bar",050-5456-5027      (+81-50-5456-5027)    (For reservation only)        03-6263-8894        (+81-3-6263-8894)      (For inquiry)予約可,8-chome-2-16 Ginza Chuo City Tokyo-to                                     東京都                                              中央区                                                銀座                                              8-2-16                                          FUNDES銀座 8Ｆ                                      This shop has moved from 「中央区銀座3-8-13」.                  *Information before relocation is not updated.                See shop information before relocationShow larger map,東京メトロ　銀座駅　C1出口から徒歩6分JR 新橋駅 銀座口から徒歩5分東京メトロ　内幸町駅　徒歩5分JR有楽町駅 銀座口から徒歩9分東京メトロ　日比谷駅　徒歩7分345 meters from Uchisaiwaicho.,Lunch Time 11:30～15:00(L.O14:30)Dinner Time 17:00～23:00(Drink L.O22:30)※ランチパスタセット・プリフィクスパスタコースではマジックショーはございませんあしからずご了承くださいませ。Open on sundays,年末年始を除き年中無休,"Dinner:￥6,000～￥7,999Lunch:￥5,000～￥5,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX)                Electronic money Accepted                    (Transportation electronic money(Suica)、Rakuten-Edy、iD、QUICPay),,
187,nihonshugenkasakagura(日本酒原価酒蔵 池袋本店),"Izakaya (Tavern), Seafood, Nihonshu (Japanese sake)",03-6914-2791      (+81-3-6914-2791)    予約可※確認のご連絡をさせていただく場合がございます。※変更・キャンセルの場合、必ず事前にお電話でご連絡ください。※大人数、貸切でのご予約はお電話にて承っております。お気軽にご連絡くださいませ。※混み合った場合のみ2時間制とさせて頂きます。,1-chome-19-4 Minamiikebukuro Toshima City Tokyo-to                                     東京都                                              豊島区                                                南池袋                                              1-19-4                                          B1F                    Show larger map,西武池袋線 池袋駅 西武南口より徒歩1分/ JR 池袋駅 西武口より徒歩5分東京メトロ副都心線、丸の内線 池袋駅 40番口 徒歩7分291 meters from Ikebukuro.,3/22～通常営業再開---------------------------------◯平日15:00～23:30◯土日祝12:00～23:30フードL.O 22:30ドリンクL.O 23:00Open on sundays,不定休,"Dinner:￥3,000～￥3,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Not AcceptedQR code payment Accepted                    (PayPay),入館料490円(飲み放題プランの場合は無し),
188,Orenosupanisshu(俺のスパニッシュ),"Spain, Bar, Izakaya (Tavern)",050-5592-5227      (+81-50-5592-5227)    (For reservation only)        03-6274-6637        (+81-3-6274-6637)      (For inquiry)予約可,8-chome-3-12 Ginza Chuo City Tokyo-to                                     東京都                                              中央区                                                銀座                                              8-3-12                                          第2銀座コラムビル　1Ｆ                    Show larger map,地下鉄銀座駅 徒歩7分ＪＲ新橋駅 銀座口 徒歩3分 320 meters from Uchisaiwaicho.,店内営業（月～金）17：00～23：00（Lo22：00）（土）12：00〜23：00（Lo22:00)（日）12：00〜22：00（Lo21:00)Open on sundays,不定休,"Dinner:￥3,000～￥3,999Lunch:￥1,000～￥1,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Not AcceptedQR code payment Accepted                    (PayPay、d Barai、Rakuten Pay、au PAY),,
189,Ginzamizuno(銀座 水野),"Kaiseki (Traditional Japanese), Kappo (Traditional Japanese), Seafood",050-5890-4564      (+81-50-5890-4564)    (For reservation only)        03-6228-6265        (+81-3-6228-6265)      (For inquiry)完全予約制ご予約日の当日、前日のキャンセルの場合はキャンセル料１００％、３日前までは５０％、５日前までは３０％かかります。キャンセルの場合はお早目のご連絡をお願い申し上げます。,1-chome-19-14 Ginza Chuo City Tokyo                                     東京都                                              中央区                                                銀座                                              1-19-14                                          広德ビル 1F                                      This shop has moved from 「中央区銀座3-4-5」.                  *Information before relocation is not updated.                See shop information before relocationShow larger map,銀座一丁目駅／東銀座駅より徒歩5分銀座駅より徒歩9分宝町駅より徒歩3分262 meters from Takaracho.,[ランチ]11:30～15:00（LO13:00）[ディナー]18:00～23:00（LO20:00）,日曜定休日,"Dinner:￥15,000～￥19,999Lunch:￥8,000～￥9,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Not AcceptedQR code payment Accepted                    (PayPay),ランチ、ディナー サービス料10%,
190,Chuugokuryourironfan(中国料理 龍皇),"Chinese, Cantonese Cuisine, Auberge",050-5597-6124      (+81-50-5597-6124)    (For reservation only)        042-724-3135        (+81-42-724-3135)      (For inquiry)予約可,3-chome-2-9 Haramachida Machida Tokyo-to                                     東京都                                              町田市                                                原町田                                              3-2-9                                          レンブラントホテル東京町田 3F                    Show larger map,JR町田駅ターミナル出口より徒歩2分小田急町田駅より大通り直線徒歩8分　504 meters from Machida.,[ランチ]11:30～14:30(L.O.14:00)　[ディナー]17:30～21:30(L.O.21:00)■水曜日が祝日の場合は、営業日に変更となります。■コロナウィルスの影響により、営業スケジュールを変更している場合がございます。最新の営業スケジュールは当ホテルの公式ホームページに掲載しておりますので、ご参照くださいませ。Open on sundays,水曜日,"Dinner:￥5,000～￥5,999Lunch:￥2,000～￥2,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Accepted                    (Transportation electronic money(Suica)、Rakuten-Edy、nanaco、WAON、iD、QUICPay),特になし,
191,Yopunooubutashioyakimaimaichikin(ヨプの王豚塩焼×マイマイチキン 新大久保駅前店),"Korean cuisine, Korean hot pot, Korean barbecue",050-5597-6105      (+81-50-5597-6105)    (For reservation only)        03-6233-8204        (+81-3-6233-8204)      (For inquiry)予約可,2-chome-3-20 Hyakunincho Shinjuku City Tokyo-to                                     東京都                                              新宿区                                                百人町                                              2-3-20                                          英泰 2F                    Show larger map,新大久保駅　徒歩1分大久保駅　徒歩5分91 meters from Shin Okubo.,11：00～24：00（L.O.23：00）Open on sundays,無休,"Dinner:￥3,000～￥3,999Lunch:￥1,000～￥1,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Not AcceptedQR code payment Accepted                    (PayPay),,
192,Yakinikureijou(焼肉 零條),"Yakiniku (BBQ Beef), Kappo (Traditional Japanese), Izakaya (Tavern)",050-5596-6168      (+81-50-5596-6168)    (For reservation only)        03-6427-1290        (+81-3-6427-1290)      (For inquiry)予約可,3-chome-13-3 Kitaaoyama Minato City Tokyo-to                                     東京都                                              港区                                                北青山                                              3-13-3                                          R’s AOYAMA B1F                    Show larger map,表参道駅　徒歩5分(B2出口最寄り）288 meters from Omote Sando.,［火～日］ディナー　17:00~23:00(22:00 LO)Open on sundays,毎週月曜日,"Dinner:￥8,000～￥9,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Not AcceptedQR code payment Not Accepted,サービス料10％、チャージ料なし,
193,yakitorishabushabumotsunabetabehoudaikoshitsuizakayatoriichiban(焼き鳥・しゃぶしゃぶ・もつ鍋 食べ放題 個室居酒屋 トリ一番 渋谷店),"Izakaya (Tavern), Yakitori (Grilled chicken), Shabu Shabu (Japanese Steamboat)",050-5595-5567      (+81-50-5595-5567)    (For reservation only)        03-5761-4829        (+81-3-5761-4829)      (For inquiry)予約可,2-chome-29-13 Dogenzaka Shibuya City Tokyo-to                                     東京都                                              渋谷区                                                道玄坂                                              2-29-13                                          若槻ビル 2F                    Show larger map,渋谷駅徒歩3分362 meters from Shibuya.,12:00〜24:00Open on sundays,年中無休,"Dinner:￥3,000～￥3,999Lunch:￥2,000～￥2,999",Credit Cards Not AcceptedElectronic money Not AcceptedQR code payment Not Accepted,,
194,kanzenkoshitsuchuukatabehoudaihonkombishokuen(完全個室 中華食べ放題 香港美食園 人形町店),"Chinese, Izakaya (Tavern), Dumplings",050-5869-3675      (+81-50-5869-3675)    (For reservation only)        03-3249-2303        (+81-3-3249-2303)      (For inquiry)予約可席のみ予約は、ディナータイムはお酒ご注文のお客様またはお会計がお1人様1500円以上のお客様がポイント付与の対象になります。1500円以下のお客様は、ポイント付与はございません。【例】3名様でご予約の場合、計4500円以上で3名様分のポイント付与になります。予めご了承下さい。お子様のポイント付与はございません。(金額以上のお食事をされたお子様はポイント対象になります),3-chome-13-11 Nihonbashiningyocho Chuo City Tokyo-to                                     東京都                                              中央区                                                日本橋人形町                                              3-13-11                    Show larger map,■地下鉄日比谷線 人形町駅 徒歩1分 ■都営浅草線 人形町駅 徒歩1分 ■水天宮前駅 徒歩5分■浜町駅 徒歩7分103 meters from Ningyocho.,■ランチ　　11:00～15:00 (L.O.14:40)■ディナー　17:00～23:00 (L.O.20:30)Open on sundays,無,"Dinner:￥2,000～￥2,999Lunch:～￥999",Credit Cards Accepted                  (JCB、AMEX、VISA)                Electronic money AcceptedQR code payment Accepted                    (PayPay),お通し代：なし,
195,Gurobarukyuijinugazebotoukyou(グローバルキュイジーヌ GAZEBO TOKYO),"Bar, Izakaya (Tavern), Beer garden",050-5597-8899      (+81-50-5597-8899)    (For reservation only)        03-5358-9662        (+81-3-5358-9662)      (For inquiry)予約可,2 Chome-4 Hyakunincho Shinjuku City Tokyo                                     東京都                                              新宿区                                                百人町                                              2-4-9                                          1F                    Show larger map,JR新大久保駅から徒歩1分/JR大久保駅から徒歩5分189 meters from Shin Okubo.,11:30 〜23:00 (22:30 L.O.)Open on sundays,年中無休,"Dinner:￥2,000～￥2,999Lunch:￥1,000～￥1,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Accepted                    (Transportation electronic money(Suica)、nanaco、WAON、QUICPay),,
196,Bekkantsujimura(別館 辻むら),"Fugu (Blowfish), Suppon (Soft-shelled Turtle), Unagi (Freshwater eel)",050-5571-5760      (+81-50-5571-5760)    (For reservation only)        03-3872-4640        (+81-3-3872-4640)      (For inquiry)予約可,3-chome-34-6 Asakusa Taito City Tokyo-to                                     東京都                                              台東区                                                浅草                                              3-34-6                    Show larger map,地下鉄銀座線浅草駅　徒歩10分　地下鉄都営浅草線浅草駅　徒歩10分　東武伊勢崎線浅草駅　徒歩10分　つくばエクスプレス浅草駅　徒歩10分スカイツリーから徒歩15分(タクシー1メーター)543 meters from Asakusa.,[月～土]11：30～14：00 (L.O.13：00)17：00～22：00 (L.O.21：00)※日・祝日の営業はお店にお問い合わせ下さい。,日曜・祝日(季節によって異なるので要確認),"Dinner:￥10,000～￥14,999Lunch:￥2,000～￥2,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Not Accepted,,
197,Choushuu(潮州),"Cantonese Cuisine, Chinese, Seafood",050-5597-9463      (+81-50-5597-9463)    (For reservation only)        03-3393-7775        (+81-3-3393-7775)      (For inquiry)予約可,5-chome-7-9 Ogikubo Suginami City Tokyo-to                                     東京都                                              杉並区                                                荻窪                                              5-7-9                                          明泰ビル B1F                                      This shop has moved from 「杉並区成田東5-42-10」.                  *Information before relocation is not updated.                See shop information before relocationShow larger map,荻窪駅南口より徒歩4分（南口より、仲通り商店街を直進して、徒歩4分左手，半地下にあります）292 meters from Ogikubo.,[ランチ]11:30～15:00（L.O.14:30）[ディナー]17:00～22:00（L.O.21:30）Open on sundays,年中無休,"Dinner:￥4,000～￥4,999Lunch:￥1,000～￥1,999",Credit Cards Not AcceptedElectronic money Not AcceptedQR code payment Accepted                    (PayPay、Rakuten Pay),なし,
198,BOMBAY SIZZLERS(BOMBAY SIZZLERS),"Indian curry, India cuisine, Izakaya (Tavern)",050-5570-9918      (+81-50-5570-9918)    (For reservation only)        03-6665-6865        (+81-3-6665-6865)      (For inquiry)予約可,3-chome-1-1 Kyobashi Chuo City Tokyo                                     東京都                                              中央区                                                京橋                                              3-1-1                                          東京スクエアガーデン 1F                    Show larger map,東京メトロ銀座線「京橋駅」3番出口直結東京メトロ有楽町線「銀座一丁目駅」7番出口より徒歩2分都営浅草線「宝町駅」A4番出口より徒歩2分JR「東京駅」八重洲南口より徒歩6分JR「有楽町駅」京橋口より徒歩6分162 meters from Kyobashi.,［月～金］11:15 - 15:00 (L.O.14:30)17:00 - 22:00 (L.O.21:30)［土・日・祝］11:30 - 15:00 (L.O.15:00)15:00 - 22:00 (L.O.21:30)Open on sundays,なし,"Dinner:￥2,000～￥2,999Lunch:￥1,000～￥1,999",Credit Cards Accepted                  (VISA、Master、JCB、AMEX、Diners)                Electronic money Accepted                    (Transportation electronic money(Suica)、Rakuten-Edy、nanaco、WAON、iD、QUICPay),,
199,jidorisemmontensumibiyakiyoukeijouchokueikoshitsutorimaru(地鶏専門店×炭火焼養鶏場直営×個室 鳥丸 水道橋店),"Izakaya (Tavern), Fowl, Yakitori (Grilled chicken)",050-5596-7435      (+81-50-5596-7435)    (For reservation only)        03-6380-4075        (+81-3-6380-4075)      (For inquiry)予約可当日キャンセルは100％キャンセル料金を頂戴致します。席のみ予約の場合はお一人様あたり1000円になります。団体様ついては2週間前までのキャンセルのみ承ります。（12月については1カ月前までになります）それ以降はキャンセル料金の対象になります。繁忙期とくに12月については、必ず電話確認を必須とします。また確認が取れない場合、トラブル防止のためキャンセル処理させていただきます。,3-chome-7-12 Misakicho Chiyoda City Tokyo-to                                     東京都                                              千代田区                                                神田三崎町                                              3-7-12                                          原田ビル 2F                    Show larger map,東京都千代田区三崎町3-7-12 原田ビル2F　水道橋駅から徒歩30秒～JR西口より出たら真正面の道路を反対側にわたり左に行くと『ゆで太郎』と『天下一品』のあいだのビルになります♪347 meters from Suidobashi.,[月～金・祝前日] 17:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）[土・日・祝日] 12:00～翌0:00 （料理L.O. 23:00 ドリンクL.O. 23:30）Open on sundays,年中無休,"Dinner:￥2,000～￥2,999Lunch:￥1,000～￥1,999",Credit Cards Not AcceptedElectronic money Not Accepted,お通し350円,
